286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
649 (u'NS-UK.1AND1-DNS.CO.UK', u'NS-UK.1AND1-DNS.BIZ')
648 (u'NS-UK.1AND1-DNS.ORG',)
641 (u'NS-UK.1AND1-DNS',)
636 (u'NS-CLOUD-B1.GOOGLEDOMAINS', u'NS-CLOUD-B3.GOOGLEDOMAINS', u'NS-CLOUD-B2.GOOGLEDOMAINS', u'NS-CLOUD-B4.GOOGLEDOMAINS')
623 (u'NS2.TLDPARKED', u'NS1.TLDPARKED')
615 (u'N1.JUMING', u'N2.JUMING')
585 (u'C.NS.INTERLAND.NET',)
579 (u'V1S1.XUNDNS', u'V1S2.XUNDNS')
576 (u'NS2.HOSTMONSTER', u'NS1.HOSTMONSTER')
539 (u'NS3.WORDPRESS',)
517 (u'NS-ES.1AND1-DNS',)
516 (u'NS-ES.1AND1-DNS.BIZ',)
515 (u'NS-ES.1AND1-DNS.ES',)
514 (u'NS-ES.1AND1-DNS.ORG',)
512 (u'NS2.SEDOPARKING', u'NS1.SEDOPARKING')
490 (u'NS2.MEDIATEMPLE.NET', u'NS1.MEDIATEMPLE.NET')
488 (u'NS342.HOSTERPK', u'NS341.HOSTERPK')
472 (u'NS2508.ZTOMY', u'NS1508.ZTOMY')
460 (u'NS1.NETFIRMS', u'NS2.NETFIRMS')
456 (u'NS15.WIXDNS.NET',)
455 (u'NS14.WIXDNS.NET',)
445 (u'C.DNSPOD',)
438 (u'NS2.DOMINIOS.UOL.COM.BR', u'NS1.DOMINIOS.UOL.COM.BR')
435 (u'NS3.DOMINIOS.UOL.COM.BR',)
423 (u'NS5.DNSDUN.NET',)
422 (u'DNS18.PARKPAGE.FOUNDATIONAPI', u'DNS17.PARKPAGE.FOUNDATIONAPI')
399 (u'NS1.WEBHOSTINGHUB',)
398 (u'NS2.WEBHOSTINGHUB',)
398 (u'TR.DNSENABLE', u'US.DNSENABLE', u'EU.DNSENABLE')
397 (u'NS2.EZDNSCENTER',)
396 (u'NS1.EZDNSCENTER',)
396 (u'NS3.EZDNSCENTER',)
395 (u'NS4.EZDNSCENTER',)
393 (u'NS6.EZDNSCENTER', u'NS5.EZDNSCENTER')
392 (u'EXPDNS1.EXPDNS.NET', u'EXPDNS2.EXPDNS.NET')
391 (u'DNS12.PARKPAGE.FOUNDATIONAPI',)
388 (u'NS101.WEBHOSTINGBUZZ',)
368 (u'DNS1.MASTERWEBNET',)
364 (u'NS431.FLOATHOSTING1',)
